text,label
"Это отличный фильм, мне очень понравилось!",positive
"Ужасный сервис, больше никогда сюда не приду.",negative
"Нормально, но ничего особенного.",neutral
"Прекрасная книга, рекомендую всем к прочтению!",positive
"Разочарован, ожидал гораздо большего.",negative
"Все супер, спасибо большое!",positive
"Не понравилось, зря потратил время.",negative
Хороший продукт за свою цену.,positive
Отвратительно! Хуже быть не может.,negative
"Достойно, но есть над чем работать.",neutral
"Лучшее, что я видел в этом году!",positive
"Полный отстой, не рекомендую.",negative
"Неплохо, но могло быть и лучше.",neutral
Восторг! Обязательно приду еще раз.,positive
"Скучно и неинтересно, уснул на середине.",negative
"Отличное качество, все работает идеально.",positive
"Ужасно, испортили настроение.",negative
"Хорошо, но дороговато.",neutral
Гениально! Просто шедевр.,positive
"Не стоит своих денег, разочарование.",negative
